scr,dest,time
z0kubqfa871dx,xjpgiffahpxlj,1.57836E+12
bkuubqfao2ft3,yjpgiffafiyei,1.57836E+12
xllubqfa2x1cf,zjpgiffahrus8,1.57836E+12
l4kubqfa9l76i,0jpgiffa8yo1g,1.57836E+12
fsiubqfalfpqh,2jpgiffac89d8,1.57836E+12
ltsubqfaqza8z,3jpgiffam7r9w,1.57836E+12
delubqfaqdy7i,4jpgiffagilgx,1.57837E+12
yinubqfab5n76,5jpgiffaj4a4z,1.57837E+12
xiyubqfa5b7q2,6jpgiffa1wwgi,1.57837E+12
ebkubqfa0hzik,7jpgiffaq4m9d,1.57838E+12
2dyubqfa2cj38,8jpgiffazqirf,1.57838E+12
aflubqfaikg56,akpgiffa3z9qu,1.57838E+12
r4pubqfaxxkf5,bkpgiffa61sog,1.57838E+12
alnubqfauml5e,0p2giffa0uctj,1.57838E+12
vklubqfalojjy,1p2giffaq7j65,1.57839E+12
5tmubqfacmkzy,2p2giffac7dxs,1.57839E+12
iorubqfa9q5jl,3p2giffagr2yt,1.57839E+12
kwtubqfaa2glx,4p2giffadxal9,1.57839E+12
byvubqfan7jwv,5p2giffaehvsc,1.57839E+12
jhnubqfa8rt9y,6p2giffau5ans,1.57839E+12
3osubqfavvdhj,7p2giffastg6g,1.5784E+12
k7mubqfapuoc7,8p2giffa8no6b,1.5784E+12
qmwubqfadoupt,9p2giffamnhs5,1.5784E+12
8kiubqfanebny,aq2giffa03ksh,1.5784E+12
5kiubqfart9ic,bq2giffa7f95m,1.5784E+12
sssubqfaab27v,cq2giffa8k1ye,1.5784E+12
7zrubqfa8z8l1,dq2giffa1iime,1.5784E+12
5zhubqfav0nzh,eq2giffabocfw,1.5784E+12
4zhubqfao26yd,fq2giffabatbm,1.5784E+12
xxpubqfaa3q9p,gq2giffah48cz,1.5784E+12
udtubqfa05n5n,hq2giffasshya,1.5784E+12
dvpubqfay8ygu,iq2giffaunny8,1.5784E+12
qiwubqfazvkvt,jq2giffanfxik,1.5784E+12
f2qubqfakpub9,kq2giffan9d9p,1.5784E+12
6zhubqfam98qj,lq2giffarzpii,1.5784E+12
xirubqfa28jfy,mq2giffa1tbyw,1.57841E+12
ezqubqfa9q6n7,nq2giffaq207z,1.57841E+12
hpsubqfa8n001,oq2giffav0rl8,1.57841E+12
girubqfarchh8,pq2giffad1vz0,1.57841E+12
5fnubqfadtvp3,qq2giffajmn3n,1.57841E+12
usnubqfa356it,rq2giffax9wsp,1.57841E+12
xyiubqfayuw4t,sq2giffaf5rvj,1.57841E+12
vuqubqfa92xki,tq2giffa0oyz3,1.57842E+12
cxhubqfal6si9,gfzy2hfabrnkq,1.57854E+12
vqvubqfaqzxr3,hfzy2hfa5fwcs,1.57854E+12
3alubqfadie3t,ifzy2hfa3ruvs,1.57854E+12
0nwubqfavwe1j,jfzy2hfa8ldcb,1.57854E+12
p7xubqfaztmbb,kfzy2hfaoj48v,1.57854E+12
r2hubqfa3utpg,lfzy2hfaus8m1,1.57855E+12
ziwubqfaw1181,mfzy2hfajyzsx,1.57855E+12
9dwubqfa5y61v,nfzy2hfarqr1j,1.57855E+12
b0kubqfavq5xw,ofzy2hfamocos,1.57855E+12
5wiubqfaq2nzs,pfzy2hfatvcx8,1.57855E+12
m6mubqfacz4a9,qfzy2hfaacdo7,1.57855E+12
03qubqfa6qxix,rfzy2hfa88a9a,1.57856E+12
yjiubqfaau7dj,sfzy2hfaa7g9n,1.57856E+12
wsrubqfafxecc,tfzy2hfayjpfj,1.57856E+12
jinubqfappfz1,ufzy2hfabcade,1.57857E+12
8jiubqfa9hncr,vfzy2hfablbeg,1.57857E+12
cvqubqfa3j7xn,wfzy2hfaovg3v,1.57857E+12
zfqubqfamgtc1,xfzy2hfa53hqm,1.57857E+12
qupubqfazm78b,yfzy2hfab4ekw,1.57858E+12
4vxubqfa95z2i,zfzy2hfah9v7e,1.57858E+12
jyxubqfa8qghj,0fzy2hfa1qq5m,1.57858E+12
flsubqfarb1fb,1fzy2hfav0bqc,1.57858E+12
1ouubqfa1f69r,2fzy2hfaplppb,1.57858E+12
yyhubqfafieyg,3fzy2hfaymelf,1.57858E+12
jwqubqfam45vk,4fzy2hfan5cd9,1.57858E+12
8byubqfa5tfkh,5fzy2hfao5jj0,1.57858E+12
fbnubqfaettqg,6fzy2hfa2uxwq,1.57862E+12
l0iubqfavz28g,7fzy2hfakdxci,1.57862E+12
2rkubqfa1a874,8fzy2hfam7u7s,1.57862E+12
gikubqfasd1lo,9fzy2hfa19dma,1.57862E+12
9enubqfaeu3jq,agzy2hfawugjd,1.57862E+12
k3kubqfaz3srr,bgzy2hfaa278a,1.57862E+12
n6tubqfa3ffxt,cgzy2hfa7ykw1,1.57862E+12
0aiubqfak9x89,dgzy2hfac26y7,1.57862E+12
24tubqfap73dg,egzy2hfa5f7ko,1.57862E+12
glwubqfagbhf7,fgzy2hfaixswj,1.57862E+12
omwubqfartklk,ggzy2hfa3zxgc,1.57862E+12
s9vubqfaxz26x,hgzy2hfahvl27,1.57862E+12
j5kubqfaxfgf5,igzy2hfa9xnl4,1.57863E+12
9dlubqfa78jvm,jgzy2hfa8mgo8,1.57863E+12
5srubqfavban9,kgzy2hfa0ceb9,1.57863E+12
6bxubqfa90i7c,lgzy2hfa7a1if,1.57863E+12
0squbqfavoi2b,mgzy2hfa7spt8,1.57863E+12
l3iubqfa57xmi,ngzy2hfaqpf6s,1.57863E+12
o8subqfa7aw0h,ogzy2hfamgi19,1.57863E+12
l8subqfa9wjk8,pgzy2hfaux90d,1.57863E+12
