,scrnum,scr,dest,time,destnum
0,11853993110,owhubqfann76a,6g0y2hfaocqs5,1.58E+12,11355357848
1,11853993112,qwhubqfagzu7r,6v0y2hfadyner,1.58E+12,11355358388
2,11853993127,5whubqfajivs4,u50y2hfave6ve,1.58E+12,11355358736
3,11853993134,cxhubqfal6si9,gfzy2hfabrnkq,1.58E+12,11355356490
4,11853993135,dxhubqfa1hrcu,sz1y2hfa518bu,1.58E+12,11355359814
5,11853993139,hxhubqfaldctl,k71y2hfaaw38u,1.58E+12,11355360094
6,11853993140,ixhubqfarpmfn,7m1y2hfaig0fd,1.58E+12,11355359361
7,11853993141,jxhubqfajfdrd,36zy2hfayt2l2,1.58E+12,11355357485
8,11853993143,lxhubqfa583li,gp1y2hfa7j6u6,1.58E+12,11355359442
9,11853993149,rxhubqfak10j8,9n0y2hfajfvut,1.58E+12,11355358103
10,11853993150,sxhubqfag2d7g,771y2hfagrteg,1.58E+12,11355360117
11,11853993154,wxhubqfaketot,el0y2hfagohd9,1.58E+12,11355358000
12,11853993157,zxhubqfats85q,ga1y2hfatides,1.58E+12,11355358902
13,11853993160,2xhubqfarlk7w,ol2y2hfa2jqvr,1.58E+12,11355360602
14,11853993163,5xhubqfaqkud8,b61y2hfaavln1,1.58E+12,11355360049
15,11853993165,7xhubqfa7beqz,82zy2hfabw3rs,1.58E+12,11355357346
16,11853993171,dyhubqfah4y12,fc0y2hfa5rlrz,1.58E+12,11355357677
17,11853993172,eyhubqfa3056f,go2y2hfa9sjm4,1.58E+12,11355360702
18,11853993174,gyhubqfac5b5v,9i1y2hfaheeww,1.58E+12,11355359219
19,11853993175,hyhubqfah621a,eo2y2hfa4s1sn,1.58E+12,11355360700
20,11853993178,kyhubqfaz2u9p,pg0y2hfarz6ui,1.58E+12,11355357831
21,11853993179,lyhubqfai67wb,9pzy2hfatmf8o,1.58E+12,11355356879
22,11853993185,ryhubqfaxazsr,4nzy2hfa4id2u,1.58E+12,11355356802
23,11853993187,tyhubqfaoglz9,uy0y2hfa4n7bh,1.58E+12,11355358484
24,11853993192,yyhubqfafieyg,3fzy2hfaymelf,1.58E+12,11355356513
25,11853993201,7yhubqfakbwpe,2g0y2hfask67q,1.58E+12,11355357844
26,11853993202,8yhubqfae8142,yl2y2hfahjdgx,1.58E+12,11355360612
27,11853993214,kzhubqfaxhvuk,1e0y2hfa3d5bk,1.58E+12,11355357771
28,11853993221,rzhubqfaol7gb,5a1y2hfaonoqc,1.58E+12,11355358927
29,11853993225,vzhubqfaedfhg,ru0y2hfaemk76,1.58E+12,11355358337
30,11853993227,xzhubqfat2eev,io2y2hfax3nvd,1.58E+12,11355360704
31,11853993237,7zhubqfabqtdu,gwzy2hfao0j88,1.58E+12,11355357102
32,11853993244,e0hubqfa4ny5r,6k1y2hfao7dnf,1.58E+12,11355359288
33,11853993247,h0hubqfagp171,qj0y2hfagv5yq,1.58E+12,11355357940
34,11853993248,i0hubqfatyiqw,w30y2hfajjv88,1.58E+12,11355358666
35,11853993251,l0hubqfazkftk,h10y2hfa5b0s9,1.58E+12,11355358579
36,11853993252,m0hubqfakby2y,670y2hfa8vbic,1.58E+12,11355358820
37,11853993253,n0hubqfa9e8fb,7b1y2hfax81v8,1.58E+12,11355358965
38,11853993254,o0hubqfa1ewfb,610y2hfajxafa,1.58E+12,11355358604
39,11853993256,q0hubqfa1jlf8,k01y2hfa5rxi4,1.58E+12,11355359842
40,11853993259,t0hubqfau9z2r,k31y2hfame5p3,1.58E+12,11355359950
